"Game","UserID","HoursPlayed","Ratings","Metadata.Genres","Release.Year"
"Alone in the Dark",189858084,0.4,5,"Action,Adventure,Racing / Driving",2008
"Assassin's Creed",76451157,7.3,4,"Action",2007
"Assassin's Creed",22371742,10.9,2,"Action",2007
"Assassin's Creed",33865373,1.1,2,"Action",2007
"Assassin's Creed",37490443,29,3,"Action",2007
"Assassin's Creed",9946133,2.8,3,"Action",2007
"Assassin's Creed",240405101,4.5,1,"Action",2007
"Assassin's Creed",20200395,0.2,3,"Action",2007
"Assassin's Creed",58345543,16.5,1,"Action",2007
"Assassin's Creed",42657809,15.5,3,"Action",2007
"Assassin's Creed",62990992,13.5,5,"Action",2007
"Assassin's Creed",94269421,3.7,1,"Action",2007
"Assassin's Creed",78341587,1.2,4,"Action",2007
"Assassin's Creed",86469479,2.4,4,"Action",2007
"Assassin's Creed",53898495,4.1,2,"Action",2007
"Assassin's Creed",154230933,9.3,4,"Action",2007
"Assassin's Creed",34582304,11.5,4,"Action",2007
"Assassin's Creed",16645459,12.3,3,"Action",2007
"Assassin's Creed",74772820,69,2,"Action",2007
"Assassin's Creed",51822361,15.6,3,"Action",2007
"Assassin's Creed",114838001,7.3,1,"Action",2007
"Assassin's Creed",92503355,2.7,4,"Action",2007
"Assassin's Creed",122026623,29,3,"Action",2007
"Assassin's Creed",92393218,47,1,"Action",2007
"Assassin's Creed",50255774,7.6,3,"Action",2007
"Assassin's Creed",43955374,3.3,3,"Action",2007
"Assassin's Creed",135879753,2,1,"Action",2007
"Assassin's Creed",17995238,0.8,2,"Action",2007
"Assassin's Creed",9128105,3.5,2,"Action",2007
"Assassin's Creed",82046939,4,2,"Action",2007
"Assassin's Creed",34919318,24,2,"Action",2007
"Assassin's Creed",99096740,10.5,1,"Action",2007
"Assassin's Creed",162288536,4.4,2,"Action",2007
"Assassin's Creed",111003065,1.1,3,"Action",2007
"Assassin's Creed",226490758,4.4,1,"Action",2007
"Assassin's Creed",103260848,12.4,2,"Action",2007
"Assassin's Creed",101690993,21,2,"Action",2007
"BioShock",45592640,21,2,"Action",2007
"BioShock",45592640,21,2,"Action",2008
"BioShock",86182317,1.3,1,"Action",2007
"BioShock",86182317,1.3,1,"Action",2008
"BioShock",58931437,37,4,"Action",2007
"BioShock",58931437,37,4,"Action",2008
"BioShock",44321815,3.5,2,"Action",2007
"BioShock",44321815,3.5,2,"Action",2008
"BioShock",95279056,0.6,2,"Action",2007
"BioShock",95279056,0.6,2,"Action",2008
"BioShock",975449,0.3,2,"Action",2007
"BioShock",975449,0.3,2,"Action",2008
"BioShock",70489471,7.8,4,"Action",2007
"BioShock",70489471,7.8,4,"Action",2008
"BioShock",57974873,0.4,1,"Action",2007
"BioShock",57974873,0.4,1,"Action",2008
"BioShock",21061921,1.9,4,"Action",2007
"BioShock",21061921,1.9,4,"Action",2008
"BioShock",73564778,23,2,"Action",2007
"BioShock",73564778,23,2,"Action",2008
"BioShock",167815968,3.1,3,"Action",2007
"BioShock",167815968,3.1,3,"Action",2008
"BioShock",107913460,19.7,2,"Action",2007
"BioShock",107913460,19.7,2,"Action",2008
"BioShock",65909415,10.1,1,"Action",2007
"BioShock",65909415,10.1,1,"Action",2008
"BioShock",36404933,0.7,3,"Action",2007
"BioShock",36404933,0.7,3,"Action",2008
"BioShock",55426012,3.6,4,"Action",2007
"BioShock",55426012,3.6,4,"Action",2008
"BioShock",20772968,0.5,2,"Action",2007
"BioShock",20772968,0.5,2,"Action",2008
"BioShock",85458882,3.2,2,"Action",2007
"BioShock",85458882,3.2,2,"Action",2008
"BioShock",92393218,21,4,"Action",2007
"BioShock",92393218,21,4,"Action",2008
"BioShock",134322141,4.1,3,"Action",2007
"BioShock",134322141,4.1,3,"Action",2008
"BioShock",150033540,0.4,5,"Action",2007
"BioShock",150033540,0.4,5,"Action",2008
"BioShock",181966419,2.4,3,"Action",2007
"BioShock",181966419,2.4,3,"Action",2008
"BioShock",80779496,1.9,3,"Action",2007
"BioShock",80779496,1.9,3,"Action",2008
"BioShock",39146470,0.3,5,"Action",2007
"BioShock",39146470,0.3,5,"Action",2008
"BioShock",30061970,0.7,3,"Action",2007
"BioShock",30061970,0.7,3,"Action",2008
"BioShock",64023574,6.4,2,"Action",2007
"BioShock",64023574,6.4,2,"Action",2008
"BioShock",73835640,8.2,3,"Action",2007
"BioShock",73835640,8.2,3,"Action",2008
"BioShock",66255019,11.5,5,"Action",2007
"BioShock",66255019,11.5,5,"Action",2008
"BioShock",23717586,1.7,4,"Action",2007
"BioShock",23717586,1.7,4,"Action",2008
"BioShock",81439192,21,3,"Action",2007
"BioShock",81439192,21,3,"Action",2008
"BioShock",64973908,4.9,3,"Action",2007
"BioShock",64973908,4.9,3,"Action",2008
"BioShock",156675178,1.3,2,"Action",2007
"BioShock",156675178,1.3,2,"Action",2008
"BioShock",163712958,1.9,4,"Action",2007
"BioShock",163712958,1.9,4,"Action",2008
"BioShock",86041729,5.8,3,"Action",2007
"BioShock",86041729,5.8,3,"Action",2008
"BioShock",36502549,0.2,4,"Action",2007
"BioShock",36502549,0.2,4,"Action",2008
"BioShock",15196746,1.2,3,"Action",2007
"BioShock",15196746,1.2,3,"Action",2008
"BioShock",30519870,2.4,3,"Action",2007
"BioShock",30519870,2.4,3,"Action",2008
"BioShock",59205262,5.5,3,"Action",2007
"BioShock",59205262,5.5,3,"Action",2008
"BioShock",53875128,0.8,3,"Action",2007
"BioShock",53875128,0.8,3,"Action",2008
"BioShock",47457723,12.4,4,"Action",2007
"BioShock",47457723,12.4,4,"Action",2008
"BioShock",29239329,0.3,2,"Action",2007
"BioShock",29239329,0.3,2,"Action",2008
"BioShock",70915652,0.9,3,"Action",2007
"BioShock",70915652,0.9,3,"Action",2008
"BioShock",8795607,0.3,3,"Action",2007
"BioShock",8795607,0.3,3,"Action",2008
"BioShock",199693353,0.4,3,"Action",2007
"BioShock",199693353,0.4,3,"Action",2008
"BioShock",33518079,1.7,3,"Action",2007
"BioShock",33518079,1.7,3,"Action",2008
"BioShock",57603447,2.1,3,"Action",2007
"BioShock",57603447,2.1,3,"Action",2008
"BioShock",30440303,0.5,1,"Action",2007
"BioShock",30440303,0.5,1,"Action",2008
"BioShock",82263745,0.3,4,"Action",2007
"BioShock",82263745,0.3,4,"Action",2008
"BioShock",100351493,0.4,4,"Action",2007
"BioShock",100351493,0.4,4,"Action",2008
"BioShock",81943620,16.2,2,"Action",2007
"BioShock",81943620,16.2,2,"Action",2008
"BioShock",188949150,0.9,3,"Action",2007
"BioShock",188949150,0.9,3,"Action",2008
"BioShock",42061089,19.1,3,"Action",2007
"BioShock",42061089,19.1,3,"Action",2008
"BioShock",154230933,4.4,5,"Action",2007
"BioShock",154230933,4.4,5,"Action",2008
"BioShock",136135322,0.7,1,"Action",2007
"BioShock",136135322,0.7,1,"Action",2008
"BioShock",161896440,7.2,3,"Action",2007
"BioShock",161896440,7.2,3,"Action",2008
"BioShock",17017968,12.5,5,"Action",2007
"BioShock",17017968,12.5,5,"Action",2008
"BioShock",34281672,0.4,3,"Action",2007
"BioShock",34281672,0.4,3,"Action",2008
"BioShock",24632218,26,3,"Action",2007
"BioShock",24632218,26,3,"Action",2008
"BioShock",134641355,25,5,"Action",2007
"BioShock",134641355,25,5,"Action",2008
"BioShock",77214425,8.3,4,"Action",2007
"BioShock",77214425,8.3,4,"Action",2008
"BioShock",17649444,0.3,2,"Action",2007
"BioShock",17649444,0.3,2,"Action",2008
"BioShock",197652539,1,2,"Action",2007
"BioShock",197652539,1,2,"Action",2008
"BioShock",19085114,0.9,2,"Action",2007
"BioShock",19085114,0.9,2,"Action",2008
"BioShock",116325720,0.1,4,"Action",2007
"BioShock",116325720,0.1,4,"Action",2008
"BioShock",98312003,2.1,3,"Action",2007
"BioShock",98312003,2.1,3,"Action",2008
"BioShock",156818121,18.8,4,"Action",2007
"BioShock",156818121,18.8,4,"Action",2008
"BioShock",33282871,0.7,2,"Action",2007
"BioShock",33282871,0.7,2,"Action",2008
"BioShock",75155353,0.3,4,"Action",2007
"BioShock",75155353,0.3,4,"Action",2008
"BioShock",47384303,0.8,5,"Action",2007
"BioShock",47384303,0.8,5,"Action",2008
"BioShock",130312302,1.3,4,"Action",2007
"BioShock",130312302,1.3,4,"Action",2008
"BioShock",16154372,1.4,3,"Action",2007
"BioShock",16154372,1.4,3,"Action",2008
"BioShock",64369759,9.3,4,"Action",2007
"BioShock",64369759,9.3,4,"Action",2008
"BioShock",34901647,12,3,"Action",2007
"BioShock",34901647,12,3,"Action",2008
"BioShock",11813637,2,4,"Action",2007
"BioShock",11813637,2,4,"Action",2008
"BioShock",33214968,8.2,3,"Action",2007
"BioShock",33214968,8.2,3,"Action",2008
"BioShock",155673786,14.2,4,"Action",2007
"BioShock",155673786,14.2,4,"Action",2008
"BioShock",160288335,0.3,3,"Action",2007
"BioShock",160288335,0.3,3,"Action",2008
"BioShock",68532738,0.4,2,"Action",2007
"BioShock",68532738,0.4,2,"Action",2008
"BioShock",27403206,0.8,2,"Action",2007
"BioShock",27403206,0.8,2,"Action",2008
"BioShock",33865373,24,4,"Action",2007
"BioShock",33865373,24,4,"Action",2008
"BioShock",35701646,23,3,"Action",2007
"BioShock",35701646,23,3,"Action",2008
"BioShock",81585721,0.1,3,"Action",2007
"BioShock",81585721,0.1,3,"Action",2008
"BioShock",145243748,20,3,"Action",2007
"BioShock",145243748,20,3,"Action",2008
"BioShock",33580866,0.8,2,"Action",2007
"BioShock",33580866,0.8,2,"Action",2008
"BioShock",48798067,10.2,4,"Action",2007
"BioShock",48798067,10.2,4,"Action",2008
"BioShock",87734805,11.9,4,"Action",2007
"BioShock",87734805,11.9,4,"Action",2008
"BioShock",58761868,31,3,"Action",2007
"BioShock",58761868,31,3,"Action",2008
"BioShock",11373749,17.1,4,"Action",2007
"BioShock",11373749,17.1,4,"Action",2008
"BioShock",144968130,1.4,4,"Action",2007
"BioShock",144968130,1.4,4,"Action",2008
"BioShock",26762388,14.4,3,"Action",2007
"BioShock",26762388,14.4,3,"Action",2008
"BioShock",118541865,2,4,"Action",2007
"BioShock",118541865,2,4,"Action",2008
"BioShock",42298912,1.3,2,"Action",2007
"BioShock",42298912,1.3,2,"Action",2008
"BioShock",185079540,3.3,4,"Action",2007
"BioShock",185079540,3.3,4,"Action",2008
"BioShock",151015947,0.8,2,"Action",2007
"BioShock",151015947,0.8,2,"Action",2008
"BioShock",60296891,1.6,3,"Action",2007
"BioShock",60296891,1.6,3,"Action",2008
"BioShock",11403772,21,2,"Action",2007
"BioShock",11403772,21,2,"Action",2008
"BioShock",9823354,26,5,"Action",2007
"BioShock",9823354,26,5,"Action",2008
"BioShock",159458198,140,2,"Action",2007
"BioShock",159458198,140,2,"Action",2008
"BioShock",162288536,0.7,4,"Action",2007
"BioShock",162288536,0.7,4,"Action",2008
"BioShock",60608576,3.9,2,"Action",2007
"BioShock",60608576,3.9,2,"Action",2008
"BioShock",150909485,28,4,"Action",2007
"BioShock",150909485,28,4,"Action",2008
"BioShock",95531306,10.4,1,"Action",2007
"BioShock",95531306,10.4,1,"Action",2008
"BioShock",13190476,13.7,4,"Action",2007
"BioShock",13190476,13.7,4,"Action",2008
"BioShock",107377573,5.5,3,"Action",2007
"BioShock",107377573,5.5,3,"Action",2008
"BioShock",11794760,1.3,5,"Action",2007
"BioShock",11794760,1.3,5,"Action",2008
"BioShock",171726897,1.8,2,"Action",2007
"BioShock",171726897,1.8,2,"Action",2008
"BioShock",34177747,18.3,5,"Action",2007
"BioShock",34177747,18.3,5,"Action",2008
"BioShock",38049880,0.6,5,"Action",2007
"BioShock",38049880,0.6,5,"Action",2008
"BioShock",190191843,8.4,3,"Action",2007
"BioShock",190191843,8.4,3,"Action",2008
"BioShock",22371742,2.7,4,"Action",2007
"BioShock",22371742,2.7,4,"Action",2008
"BioShock",99077905,8.1,4,"Action",2007
"BioShock",99077905,8.1,4,"Action",2008
"BioShock",268487512,13.7,3,"Action",2007
"BioShock",268487512,13.7,3,"Action",2008
"BioShock",101602586,0.5,3,"Action",2007
"BioShock",101602586,0.5,3,"Action",2008
"BioShock",99083518,4.1,3,"Action",2007
"BioShock",99083518,4.1,3,"Action",2008
"BioShock",82287546,1.6,3,"Action",2007
"BioShock",82287546,1.6,3,"Action",2008
"BioShock",33013552,0.6,3,"Action",2007
"BioShock",33013552,0.6,3,"Action",2008
"BioShock",34582304,18.2,4,"Action",2007
"BioShock",34582304,18.2,4,"Action",2008
"BioShock",143643478,1.7,4,"Action",2007
"BioShock",143643478,1.7,4,"Action",2008
"BioShock",156565178,2.2,3,"Action",2007
"BioShock",156565178,2.2,3,"Action",2008
"BioShock",66596291,0.5,3,"Action",2007
"BioShock",66596291,0.5,3,"Action",2008
"BioShock",94269421,13.9,3,"Action",2007
"BioShock",94269421,13.9,3,"Action",2008
"BioShock",68316900,6.8,5,"Action",2007
"BioShock",68316900,6.8,5,"Action",2008
"BioShock",37490443,3.8,2,"Action",2007
"BioShock",37490443,3.8,2,"Action",2008
"BioShock",51557405,0.3,1,"Action",2007
"BioShock",51557405,0.3,1,"Action",2008
"BioShock",151603712,0.5,4,"Action",2007
"BioShock",151603712,0.5,4,"Action",2008
"BioShock",36557643,0.9,4,"Action",2007
"BioShock",36557643,0.9,4,"Action",2008
"BioShock",44021324,31,4,"Action",2007
"BioShock",44021324,31,4,"Action",2008
"BioShock",33452361,12.3,3,"Action",2007
"BioShock",33452361,12.3,3,"Action",2008
"BioShock",116876958,0.5,4,"Action",2007
"BioShock",116876958,0.5,4,"Action",2008
"BioShock",111212436,5.3,1,"Action",2007
"BioShock",111212436,5.3,1,"Action",2008
"BioShock",58345543,2,2,"Action",2007
"BioShock",58345543,2,2,"Action",2008
"BioShock",71390526,7.3,3,"Action",2007
"BioShock",71390526,7.3,3,"Action",2008
"BioShock",7907686,1,1,"Action",2007
"BioShock",7907686,1,1,"Action",2008
"BioShock",69954842,2.1,3,"Action",2007
"BioShock",69954842,2.1,3,"Action",2008
"BioShock",13565651,6.2,3,"Action",2007
"BioShock",13565651,6.2,3,"Action",2008
"BioShock",78341587,7.1,4,"Action",2007
"BioShock",78341587,7.1,4,"Action",2008
"BioShock",71510748,0.6,4,"Action",2007
"BioShock",71510748,0.6,4,"Action",2008
"BioShock",77194239,5.9,3,"Action",2007
"BioShock",77194239,5.9,3,"Action",2008
"BioShock",157341587,13.9,2,"Action",2007
"BioShock",157341587,13.9,2,"Action",2008
"BioShock",62990992,2.4,3,"Action",2007
"BioShock",62990992,2.4,3,"Action",2008
"BioShock",61189155,9.9,3,"Action",2007
"BioShock",61189155,9.9,3,"Action",2008
"BioShock",167013261,1.5,4,"Action",2007
"BioShock",167013261,1.5,4,"Action",2008
"BioShock",94299484,0.3,2,"Action",2007
"BioShock",94299484,0.3,2,"Action",2008
"BioShock",65229865,1.1,3,"Action",2007
"BioShock",65229865,1.1,3,"Action",2008
"Call of Duty 2",107307955,0.6,1,"Action",2005
"Call of Duty 2",103260848,26,2,"Action",2005
"Call of Duty 2",35047392,4.1,2,"Action",2005
"Call of Duty 2",216025815,2.7,3,"Action",2005
"Call of Duty 2",59925638,7.2,4,"Action",2005
"Call of Duty 2",58057627,0.5,5,"Action",2005
"Call of Duty 2",11978743,0.2,4,"Action",2005
"Call of Duty 2",37422528,0.2,3,"Action",2005
"Call of Juarez",62990992,3.4,1,"Action",2007
"Call of Juarez",96914675,8.6,1,"Action",2007
"Dead Space",75232211,0.2,3,"Action",2008
"Dead Space",33865373,0.8,3,"Action",2008
"Dead Space",110478743,3.6,3,"Action",2008
"Dead Space",77980915,0.9,4,"Action",2008
"Dead Space",49462664,11,3,"Action",2008
"Dead Space",27403206,2.9,4,"Action",2008
"Dead Space",48798067,13.5,1,"Action",2008
"Dead Space",101695880,1.2,1,"Action",2008
"Dead Space",60611062,11.4,2,"Action",2008
"Dead Space",17530772,5,5,"Action",2008
"Dead Space",69954842,3.9,1,"Action",2008
"Dead Space",113752996,0.1,3,"Action",2008
"Dead Space",54291917,1.5,4,"Action",2008
"Dead Space",52731290,40,2,"Action",2008
"Dead Space",53875128,3.3,2,"Action",2008
"Dead Space",63157803,8.2,4,"Action",2008
"Dead Space",50700418,3.2,1,"Action",2008
"Dead Space",69009454,0.4,3,"Action",2008
"Dead Space",47457723,1,5,"Action",2008
"Dead Space",11403772,1.7,4,"Action",2008
"Dead Space",81439192,9.5,3,"Action",2008
"Dead Space",8542204,0.3,3,"Action",2008
"Dead Space",13565651,0.5,5,"Action",2008
"Dead Space",68532738,4.8,3,"Action",2008
"Dead Space",49893565,1.1,4,"Action",2008
"Dead Space",60608576,0.7,4,"Action",2008
"Dead Space",26762388,2.6,5,"Action",2008
"Dead Space",49228258,7.9,3,"Action",2008
"Dead Space",115632831,0.8,2,"Action",2008
"Dead Space",9128105,0.5,4,"Action",2008
"Dead Space",99096740,15.4,4,"Action",2008
"Dead Space",50275189,3.5,2,"Action",2008
"Dead Space",81585721,0.6,2,"Action",2008
"Dead Space",44472980,0.5,1,"Action",2008
"Dead Space",32644336,1.3,3,"Action",2008
"Dead Space",82046939,3.3,3,"Action",2008
"Dead Space",58931437,0.2,3,"Action",2008
"Dead Space",28731346,1.2,3,"Action",2008
"Dead Space",36404933,3.1,3,"Action",2008
"Dead Space",58345543,1.1,5,"Action",2008
"Dead Space",65958466,5.2,5,"Action",2008
"Dead Space",74772820,1.9,2,"Action",2008
"Dead Space",42657809,1.2,3,"Action",2008
"Dead Space",159800136,28,4,"Action",2008
"Dead Space",66615366,9,3,"Action",2008
"Dead Space",34919318,12.1,1,"Action",2008
"Dead Space",81170946,0.5,3,"Action",2008
"Dead Space",55426012,1.1,5,"Action",2008
"Dead Space",114924461,0.6,3,"Action",2008
"Dead Space",68316900,1.5,3,"Action",2008
"Dead Space",178423779,0.6,2,"Action",2008
"Dead Space",561758,1.4,4,"Action",2008
"Dead Space",9823354,16.5,4,"Action",2008
"Dead Space",30440303,12.7,4,"Action",2008
"Dead Space",59790700,0.3,3,"Action",2008
"Dead Space",156818121,10.9,3,"Action",2008
"Dead Space",54637394,3,3,"Action",2008
"Dead Space",125682446,0.7,5,"Action",2008
"Dead Space",10450544,3.2,3,"Action",2008
"Dead Space",151229648,0.3,4,"Action",2008
"Dead Space",11794760,0.3,2,"Action",2008
"Dead Space",33452361,28,3,"Action",2008
"Dead Space",87734805,0.3,3,"Action",2008
"Dead Space",94088853,0.3,1,"Action",2008
"Dead Space",26808868,15.1,3,"Action",2008
"Devil May Cry 4",93644606,19.5,5,"Action",2008
"Devil May Cry 4",80189887,3.6,1,"Action",2008
"Devil May Cry 4",68532738,2.1,2,"Action",2008
"Devil May Cry 4",193156880,0.1,3,"Action",2008
"Devil May Cry 4",44321815,15.6,3,"Action",2008
"Devil May Cry 4",80779496,7.4,5,"Action",2008
"Devil May Cry 4",72996988,1.3,1,"Action",2008
"Devil May Cry 4",24632218,11.2,3,"Action",2008
"Devil May Cry 4",27279261,15.8,2,"Action",2008
"Devil May Cry 4",55426012,0.5,3,"Action",2008
"Devil May Cry 4",87341384,6.9,5,"Action",2008
"Devil May Cry 4",20772968,2,2,"Action",2008
"Devil May Cry 4",60608576,1.8,3,"Action",2008
"Devil May Cry 4",183838531,1.9,5,"Action",2008
"Devil May Cry 4",116325720,4.6,2,"Action",2008
"Devil May Cry 4",77214425,2.4,3,"Action",2008
"Devil May Cry 4",49893565,9,3,"Action",2008
"Devil May Cry 4",48798067,9,4,"Action",2008
"DiRT",20772968,7.4,3,"Racing / Driving,Simulation,Sports",2007
"DiRT",59115473,0.6,3,"Racing / Driving,Simulation,Sports",2007
"Dream Pinball 3D",87694960,0.4,4,"Simulation",2008
"Fallout 3",24632218,31,3,"Action,Role-Playing (RPG)",2008
"Fallout 3",64023574,11,3,"Action,Role-Playing (RPG)",2008
"Fallout 3",205285563,0.4,2,"Action,Role-Playing (RPG)",2008
"Fallout 3",26808868,0.2,2,"Action,Role-Playing (RPG)",2008
"Fallout 3",201889336,0.2,3,"Action,Role-Playing (RPG)",2008
"Fallout 3",86055705,15.1,4,"Action,Role-Playing (RPG)",2008
"Fallout 3",44545959,64,3,"Action,Role-Playing (RPG)",2008
"Fallout 3",235758386,0.1,3,"Action,Role-Playing (RPG)",2008
"Fallout 3",12144171,56,2,"Action,Role-Playing (RPG)",2008
"Fallout 3",9128105,10.2,3,"Action,Role-Playing (RPG)",2008
"Fallout 3",165755355,8,4,"Action,Role-Playing (RPG)",2008
"Fallout 3",178038549,6.7,5,"Action,Role-Playing (RPG)",2008
"Fallout 3",2259650,0.5,1,"Action,Role-Playing (RPG)",2008
"Fallout 3",23386002,30,3,"Action,Role-Playing (RPG)",2008
"Fallout 3",58530556,1,1,"Action,Role-Playing (RPG)",2008
"Fallout 3",58057627,2,5,"Action,Role-Playing (RPG)",2008
"Fallout 3",6928806,2.4,1,"Action,Role-Playing (RPG)",2008
"Fallout 3",33865373,134,4,"Action,Role-Playing (RPG)",2008
"Fallout 3",138482130,1.8,3,"Action,Role-Playing (RPG)",2008
"Fallout 3",87071236,0.7,5,"Action,Role-Playing (RPG)",2008
"Fallout 3",100351493,9.3,2,"Action,Role-Playing (RPG)",2008
"Fallout 3",213720494,6,3,"Action,Role-Playing (RPG)",2008
